Rank	Word		Frequency	Freq x Rank
01	PART		1022		1022
02	JOIN		1021		2042
03	LOL		822		2466
04	YOU		686		2744
05	TO		665		3325
06	THE		660		3960
07	HI		656		4592
08	ME		428		3424
09	IS		380		3420
10	IN		364		3640
11	AND		357		3927
12	IT		355		4260
13	ACTION		347		4511
14	HEY		292		4088
15	THAT		284		4260
16	MY		259		4144
17	OF		207		3519
18	WHAT		201		3618
19	'S		195		3705
20	FOR		189		3780
21	ON		189		3969
22	HERE		185		4070
23	ARE		181		4163
24	DO		181		4344
25	NO		181		4525
26	NOT		179		4654
27	HAVE		171		4617
28	ALL		168		4704
29	UP		161		4669
30	LIKE		160		4800
