Rank	Word		Frequency	Freq x Rank
01	THE		4764		4764
02	OF		2325		4650
03	TO		2182		6546
04	IN		1769		7076
05	AND		1556		7780
06	'S		865		5190
07	FOR		853		5971
08	THAT		848		6784
09	*T*-1		806		7254
10	*U*		744		7440
11	IS		672		7392
12	SAID		628		7536
13	IT		577		7501
14	ON		508		7112
15	BY		440		6600
16	AT		430		6880
17	AS		415		7055
18	WITH		398		7164
19	FROM		391		7429
20	MILLION		383		7660
21	MR.		375		7875
22	ARE		369		8118
23	WAS		367		8441
24	BE		356		8544
25	*T*-2		345		8625
26	ITS		343		8918
27	HAS		339		9153
28	AN		335		9380
29	NEW		328		9512
30	HAVE		325		9750
